nom,description,prix,categorie,actif
Oeuf mimosa,Œuf bio mimosa servi sur un lit de salade.,8,entree,non
La Gambas,Gambas citronnées à la salicorne.,9,entree,non
Bisque de gambas maison façon soupe de poisson,"Bisque, croûtons, aïoli, gruyère.",8,entree,non
Le Tartare,"Tartare de bœuf, huile d'olive, pesto de basilic, tomates, parmesan, basilic, roquette.",9,entree,non
Les tartinables,Tapenade et caviar d'aubergine.,8,entree,non
Esquixade de morue en entrée,"Morue façon tartare, sauce vierge, salade.",8,entree,non
Les Rillettes de cabillaud,Les rillettes de cabillaud en persillade.,8,entree,non
Cannelés aux olives,Cannelés aux olives vertes et noires.,8,entree,non
Le Melon au Jambon,"Melon et jambon cru Italien, huile d'olive.",8,entree,non
Le Duo du Joüy,"Terrine d'aubergine, champignons de Paris et shitake, Panacotta lard et son coulis poivron romarin.",8,entree,non
Le Mini Bol,"Lentilles, Petit Épeautre, œuf parfait, légumes cuits et crus, graines.",0,entree,non
Le Bol du Jardin,"Lentilles, petit épeautre, légumes cuits, œuf parfait, mélanges de graines, légumes crus.",19,salade,non
La Salade Italienne,"Mélange de salades vertes, roquette, jambon cru, tomates, burrata, parmesan, pesto, croûtons. Vinaigrette maison à la roquette.",19,salade,non
La Salade Grecque,"Mélange de salades vertes, féta, concombre, olives noires, oignons rouges, tomates.",16,salade,non
Les Pokes,"Buddha (100% végétal), Parfait (avec un œuf parfait) ou Dorade (avec de la Dorade cru citronnée). Base de riz à sushi assaisonné.",15,salade,non
Mascaron,"Mousse de mascarpone à la crème de marron, éclats de spéculos.",7,dessert,non
Le Délice d'Orange,"Sorbet orange sur son matelas de pancake à la mandarine Napoléon, couvert de chantilly.",7,dessert,non
La Mousse au Chocolat,Mousse chocolat au piment d'Espelette.,9,dessert,non
Le Crumble,Crumble de pommes caramel et sablé amandes.,8,dessert,non
Le Citron,Verrine mousse citron meringuée.,7,dessert,non
Le Tiramisu à la réglisse,"Café, spéculoos, réglisse, mascarpone.",7,dessert,non
Le Fondant aux pommes,"Pommes fondantes caramelisées, crème anglaise vanillée.",7,dessert,non
Le Cheese cake,Cheese cake au coulis de framboises sur une base spéculoos.,8,dessert,non
Le Paris-Levant,"Pâte à Choux, crème praliné avec son croustillant.",9,dessert,non
Les Choux,Trio de choux au caramel.,8,dessert,non
Le Basboussa,Semoule Coco Miel au Lait de Coco et Fleur d'Oranger.,8,dessert,non
La Dacquoise,"Dacquoise noisette, mousse praliné, citron confit maison.",9,dessert,non
Le Café Gourmand,Café ou déca avec 3 mini desserts.,9,dessert,non
La Praliné,Biscuit cuillère et mousse praliné.,7,dessert,non
Le Moelleux,Moelleux pistache framboise.,7,dessert,non
La Pomme d'Adam,"Mousse vanille, cœur compotée de pommes caramelisées.",8,dessert,non
Le Fondant au chocolat,"Fondant chocolat, crème anglaise à la vanille.",8,dessert,non
Le Rainbow cake,"Biscuit joconde, crème pâtissière vanillée.",8,dessert,non
La Mousse Mojito,Mousse citron version mojito.,7,dessert,non
Le Brownie,Brownie aux noix sur un coulis de fruit rouge.,8,dessert,non
Le Framboisier,"Biscuit fin, crème mousseline et framboises.",8,dessert,non
Le Coco Banane,"Biscuit, bananes rôties, croustillant coco.",8,dessert,non
Moelleux aux pommes,Moelleux avec son anglaise caramel maison.,7,dessert,non
Tarte poire,"Pâte brisée, poire, cannelle, œufs, crème.",8,dessert,non
La Verrine Praliné Citron,"Crème diplomate (pâtissière et chantilly) et son coulis chocolat au lait.",8,dessert,non
La Tarte au Citron,Tarte citron meringuée.,8,dessert,non
Charlotte,Charlotte de framboises.,7,dessert,non
La Tarte Abricot Nectarine,"Tarte abricot et nectarine, pâte sablée, crème d'amande et éclats de pistaches.",8,dessert,non
Panacotta,"Panacotta vanille, compotée d'abricots.",7,dessert,non
Profiteroles,,9,dessert,non
Le Clafoutis Framboises,"Clafoutis, framboises, mascarpone, sucre vanillée.",7,dessert,non
Ricotta à la framboise,"Ricotta, framboises, chantilly, poudre de spéculoos, coulis de framboises.",7,dessert,non
Mousse de spéculoos,"Crème de spéculoos, mascarpone, blanc en neige.",7,dessert,non
Dame Blanche,"Glace vanille bio, sauce chocolat, éclats de cookies, chantilly.",8,glace,non
The Marble Lady,"Glace vanille/chocolat, sauce chocolat, éclats de cookies, chantilly.",8,glace,non
Les 2 boules,"2 boules au choix. Glace : vanille, fraise, rhum-raisin, menthe-choco. Sorbet : citron, orange.",5,glace,non
Le Colonel,2 boules de sorbet citron et shot de vodka.,12,glace,non
L'Irish Coffee,"Expresso, whisky, chantilly et amour.",12,glace,non
La Route du Rhum,"2 boules de glace rhum raisin, chocolat, chantilly et raisins secs imbibés de rhum. Supplément : shot de Rhum ambré +4€.",8,glace,non
La Coupe Fraicheur,"Boule de citron de Sicile, boule d'orange, meringue et coulis passion.",8,glace,non
